id,MPD,MTD,0.15,0.3,0.6,1.18,2.36,4.75,9.5,13.2,16,19,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Entropy1,Entropy2,Entropy3,Entropy4,Entropy5,Entropy6,Entropy7,Entropy8,Entropy9,BPF,EPP,FCN,DBC-FD,FD,AR,e
10402,0.78031,0.80489,0.28034,0.53069,0.1731,0.011434,0.0034662,0.00090882,6.34E-05,0,0,0,2.03E+07,7.47E+07,1.03E+08,1.14E+08,1.17E+08,1.05E+08,8.36E+07,7.76E+07,2.02E+10,4.9871,5.8963,5.9364,5.6352,5.7398,5.757,5.7034,5.7033,5.4211,65.304083,16.158055,7389,2.171429764,1.718974184,0.405851,1.17216933
10403,0.77675,0.86346,0.27868,0.53389,0.17168,0.010618,0.004175,0.00084771,0.00010596,0,0,0,2.21E+07,7.84E+07,1.06E+08,1.19E+08,1.23E+08,1.23E+08,9.94E+07,8.59E+07,2.03E+10,5.056,5.7486,5.6246,5.787,5.5919,5.4398,5.1865,5.4199,5.1743,65.080772,16.202885,7155,2.176194316,1.70699748,0.410695,1.17378378
10404,0.86974,0.93015,0.27393,0.53435,0.17658,0.010523,0.0035437,0.00097236,8.64E-05,2.16E-05,0,0,2.01E+07,7.67E+07,1.07E+08,1.25E+08,1.31E+08,1.25E+08,1.15E+08,7.59E+07,1.99E+10,4.7995,5.7013,5.8108,5.6549,5.7124,5.7518,5.6863,5.3426,5.7391,66.428094,15.349681,6837,2.191838831,1.746222242,0.405657,1.16550529
10405,0.82656,0.91144,0.27745,0.53445,0.17139,0.011637,0.0041714,0.00081289,6.42E-05,2.14E-05,0,0,2.01E+07,7.59E+07,1.07E+08,1.22E+08,1.24E+08,1.07E+08,1.03E+08,7.84E+07,2.04E+10,5.037,5.8304,5.8852,5.6484,5.7262,5.839,5.7361,5.5299,5.3868,65.511875,15.750242,7067,2.172751475,1.71105168,0.409019,1.17420697
10406,0.91817,0.97668,0.27918,0.53174,0.17362,0.010257,0.0040135,0.0011467,4.25E-05,0,0,0,2.16E+07,7.82E+07,1.07E+08,1.21E+08,1.25E+08,1.17E+08,9.40E+07,7.35E+07,2.05E+10,4.9696,5.8146,5.7627,5.7613,5.6633,5.7407,5.6602,5.5511,5.1788,64.091486,16.044266,7208,2.160989947,1.697652364,0.412274,1.17906618
10407,1.0407,1.1093,0.27727,0.53094,0.17621,0.010624,0.0040879,0.00078777,6.39E-05,2.13E-05,0,0,2.28E+07,8.59E+07,1.23E+08,1.43E+08,1.50E+08,1.40E+08,1.20E+08,1.09E+08,2.06E+10,4.8677,5.7158,5.7955,5.6651,5.6804,5.4202,5.7416,5.6027,5.4944,65.354228,15.127138,7048,2.186561743,1.739175796,0.409838,1.17743754
10408,1.0095,0.95389,0.27806,0.53698,0.16961,0.010789,0.0037709,0.00071228,8.38E-05,0,0,0,2.29E+07,8.16E+07,1.16E+08,1.33E+08,1.41E+08,1.22E+08,1.01E+08,8.92E+07,2.06E+10,5.1069,5.735,5.8369,5.768,5.7018,5.5938,5.5595,5.6322,5.144,64.558657,15.822184,7240,2.173343822,1.727804763,0.41005,1.1689595
10409,0.88344,0.98893,0.28026,0.53497,0.16916,0.010794,0.0038489,0.00089947,6.28E-05,0,0,0,2.18E+07,8.34E+07,1.17E+08,1.33E+08,1.37E+08,1.28E+08,1.12E+08,9.24E+07,2.03E+10,4.8511,5.8067,5.8028,5.6965,5.7514,5.6217,5.4854,5.4848,5.2793,64.783472,16.092712,7654,2.184125961,1.732778508,0.410082,1.1804328
20101,0.91566775,0.89200125,0.26945,0.53308,0.18086,0.011551,0.0037911,0.001175,6.65E-05,2.22E-05,0,0,1.69E+07,6.18E+07,1.08E+08,1.56E+08,1.78E+08,1.80E+08,1.56E+08,1.27E+08,1.41E+10,4.3226,5.5,5.8498,5.7201,5.5249,5.6106,5.3795,5.5441,5.2231,71.35698,12.091137,6666,2.311703282,1.893013704,0.406548,1.15834951
20102,0.931529083,0.980871583,0.27766,0.52503,0.18039,0.012015,0.0036732,0.0011285,0.00011064,0,0,0,2.17E+07,8.30E+07,1.33E+08,1.73E+08,1.89E+08,1.89E+08,1.59E+08,1.42E+08,2.11E+10,4.8289,5.846,5.8237,5.7044,5.3563,5.4512,5.5782,5.4356,5.3863,69.218984,13.200569,6464,2.195161788,1.719587963,0.401953,1.16172075
